participant,session,condition,totalAmountOfMovementP1,totalAmountOfMovementP2
10,2,integration,1.577014057709669,0.9924218168297791
10,3,integration,1.7442431598501371,0.8230374132880076
10,4,integration,1.872833120506633,0.6671225878123628
10,5,integration,1.7288453465952005,1.1056483694014982
10,6,integration,1.6184333235148858,0.6181609936142665
10,7,integration,1.6032341187845192,0.8074147941141272
10,8,integration,1.4631424806504851,1.0712741768103218
10,9,integration,2.0783943874961457,1.2009019828655074
10,10,integration,1.6415861622056576,0.7989101046050329
10,11,integration,1.8794856530775648,0.9883571225089258
10,12,integration,1.7401488771180131,0.6084679180607224
10,13,integration,1.857518591707679,0.6631530687620215
10,14,integration,1.990394123117316,0.8061452594688486
10,15,integration,2.018765762778915,0.6399013904219685
10,16,integration,1.837787406703957,0.722658711798543
10,17,integration,1.8874520602927505,0.8821348666684412
10,18,integration,1.8418045608899325,0.8234686434786618
10,19,integration,1.9065056438988872,0.831751922972191
10,20,integration,1.866671771428689,0.8782575621397906
10,21,integration,1.7929693086147558,0.8800547861991233
10,22,integration,1.9610819482702984,0.5514143774941889
10,23,integration,1.7350905236722023,0.7087356825026118
10,24,integration,1.8977138398226256,0.9316979149819254
10,25,integration,1.9344381148381045,0.9356925998835812
10,26,integration,1.5754332468248893,0.7889721838172048
10,27,integration,1.85460084521724,1.0094172439031197
10,28,integration,1.7851717439157724,0.7643174320240564
10,29,integration,1.732614024359664,0.7911006714367836
10,30,integration,1.6787812998562508,0.668947324165057
10,31,integration,1.5838016001355446,0.854619565313731
10,32,integration,2.164506150759673,1.0268435836477825
10,1,compatibility,2.065189863399924,0.97089802854317
10,2,compatibility,1.6710624649484254,0.9893144038152694
10,1,post,1.676477974466862,
10,2,post,1.1583507612562534,
10,3,post,1.1779277207703585,
10,4,post,1.2697181372924922,
10,5,post,1.1985019624370925,
10,6,post,1.2302655359923476,
10,7,post,1.208666659070757,
10,8,post,1.3049257942905212,
10,9,post,1.2383018846927925,
10,10,post,1.270092904191801,
11,1,pre,1.0774446572949787,
11,2,pre,1.0805862272022246,
11,3,pre,1.0422208387215564,
11,4,pre,1.3374375677618524,
11,5,pre,1.1167716511585073,
11,6,pre,1.28430680504112,
11,7,pre,1.180988288495587,
11,8,pre,1.0702056607213497,
11,9,pre,1.0739147942908425,
11,10,pre,1.1013324990427815,
11,1,integration,0.7506528985198307,1.6904289360727556
11,2,integration,0.8912068230489343,1.8028183725966207
11,3,integration,0.7858611096582846,1.586100294490615
11,4,integration,0.7285897141363078,1.4178523899123308
11,5,integration,0.9008953945015704,1.6946861619613578
11,6,integration,0.7956160545702449,1.7987127273120034
11,7,integration,0.8287911692294776,1.5448412676432226
11,8,integration,0.7147060293143146,1.8802160392674123
11,9,integration,0.8476066322747443,1.772025114481392
11,10,integration,0.9074677144989648,1.3418340583449573
11,11,integration,0.8392878991026822,1.6678563304823562
11,12,integration,0.5375840509446803,1.7388637615220757
11,13,integration,0.7238077294217116,1.722613060677335
11,14,integration,0.7251912744228506,2.126043171527238
11,15,integration,0.656287246384218,1.809835346049542
11,16,integration,0.7715720718555852,1.9750246815799968
11,17,integration,0.9063692227425966,1.4558096227369366
11,18,integration,0.7891379266262025,1.5890269159926205
11,19,integration,0.7864903704042938,1.92373509978382
11,20,integration,0.7119351869232319,1.7856104464111482
11,21,integration,0.8482627640267164,1.6616050951544823
11,22,integration,0.7355947946961559,1.6570648202566165
11,23,integration,0.6973995211378413,1.9728408781090947
11,24,integration,0.8662587079324633,1.489383005214432
11,25,integration,0.8476906218331367,1.68197866397411
11,26,integration,0.8851028609131046,1.335023729925099
11,27,integration,0.9116937247935613,1.4397443617055958
11,28,integration,0.828807896949882,1.7554989165707178
11,29,integration,0.6645721639361095,1.8073506538673207
11,30,integration,0.8051566001739284,1.7533455502644033
11,31,integration,0.9702281951390944,1.930244603101843
11,32,integration,1.11028584950258,1.7246375256634832
11,1,compatibility,0.9179119554294806,1.8787251454186755
11,2,compatibility,0.7852212219000181,1.8029904938529693
11,1,post,1.181064182313228,
11,2,post,1.1201755040739283,
11,3,post,1.1376377618215334,
11,4,post,1.1021083145756876,
11,5,post,1.2662857490540058,
11,6,post,1.2034313617256145,
11,7,post,1.223327943618306,
11,8,post,1.262879420876923,
11,9,post,1.1796997169858523,
11,10,post,1.061913555763453,
12,1,pre,1.560315928147214,
12,2,pre,1.5630774737491264,
12,3,pre,1.4500233099435276,
12,4,pre,1.6161292860733971,
12,5,pre,1.3242136825393025,
12,6,pre,1.497109112723564,
12,7,pre,1.3583421580509143,
12,8,pre,1.3648731386604638,
12,9,pre,1.450695903263518,
12,10,pre,1.322256662831483,
12,1,integration,0.9403810606842636,1.94194623766684
12,2,integration,0.8129237826914522,1.9898546897613243
12,3,integration,0.9952766226344304,2.0033206461848527
12,4,integration,0.9569715721747868,1.9095633591587244
12,5,integration,1.6822818886112754,3.1585710251657986
12,6,integration,1.0042273151336305,2.077975024637061
12,7,integration,1.026771582034815,2.0136910514750883
12,8,integration,0.8814295187194056,1.5918452627531483
12,9,integration,0.905803076282744,1.8893539951007816
12,10,integration,0.8872156385560381,1.7916385025753083
12,11,integration,0.864968358527978,1.7118839919185445
12,12,integration,0.9469288504691789,1.5661817321093137
12,13,integration,1.043790235624486,1.9120545794308788
12,14,integration,0.9865728692042972,1.7690015397564434
12,15,integration,1.1306106208307145,1.563610199686884
12,16,integration,1.21542772284803,2.1285998507069124
12,17,integration,0.7821577330071783,1.876469993364923
12,18,integration,0.885590175376473,1.5786347786432513
12,19,integration,1.0386806825135464,1.7267272630354105
12,20,integration,0.9280451268815298,1.4380776140243694
12,21,integration,1.0334875025127237,1.9528792614123744
12,22,integration,0.6891452246940484,1.667436652010163
12,23,integration,0.83060171929496,1.7059124473105578
12,24,integration,0.7585856620334109,1.8501295498084007
12,25,integration,0.8140080462273099,1.5023172256776824
12,26,integration,0.969455570573612,1.7637004132383205
12,27,integration,0.93104817155103,1.5411705467662358
12,28,integration,0.9063585871164376,1.7656415791186104
12,29,integration,0.9936400208948176,1.3614463526094045
12,30,integration,0.6865658499461935,1.805592381886288
12,31,integration,0.7747671518478956,1.6775259043464752
12,32,integration,0.9021733248035382,1.5940279895055904
12,1,compatibility,0.9352730098502352,1.5329216229277058
12,2,compatibility,0.8548463362610778,1.6966101058323837
